Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
acoustic guitar,Natural,Body,,,True,True,False,5,,3210,Beige,Brown,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP,False,False,2020-08-13
acoustic guitar,Cherry,Body,,,True,True,False,5,,3210,Red,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR,False,False,2020-08-13
acoustic guitar,Brown,Body,,,True,True,False,5,,3210,Brown,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr,False,False,2020-08-13
acoustic guitar,Blue,Body,,,True,True,False,5,,3210,Blue,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj,False,False,2020-08-13
acoustic guitar,White,Body,,,True,True,False,5,,3210,White,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF,False,False,2020-08-13
acoustic guitar,Black,Body,,,True,True,False,5,,3210,Black,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m,False,False,2020-08-13
acoustic guitar,Pink,Body,,,True,True,False,5,,3210,Pink,White,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B,False,False,2020-08-13
air circulator,White,,,,False,False,False,,1100,275,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM,True,False,2020-08-13
air circulator,Black,,,,False,False,False,,1100,275,Black,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F,True,False,2020-08-13
air circulator,Pink,,,,False,False,False,,1100,275,Pink,Pink,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa,True,False,2020-08-13
